Exchange type,Currency,Year,Exchange rates (Average for period)
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2000,3.8000
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2001,3.8000
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2002,3.8000
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2003,3.8000
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2004,3.8000
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2005,3.7871
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2006,3.6682
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2007,3.4376
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2008,3.3333
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2009,3.5246
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2010,3.2211
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2011,3.0600
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2012,3.0890
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2013,3.1510
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2014,3.2729
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2015,3.9055
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2016,4.1483
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2017,4.3004
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2018,4.0352
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2019,4.1425
Ringgit  Malaysia  per  unit  of  foreign  currency,U.S.  dollar,2020,4.2035
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2000,3.5124
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2001,3.4051
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2002,3.5917
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2003,4.2989
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2004,4.7262
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2005,4.7165
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2006,4.6062
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2007,4.7082
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2008,4.8893
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2009,4.9068
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2010,4.2775
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2011,4.2556
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2012,3.9715
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2013,4.1856
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2014,4.3489
Ringgit  Malaysia  per  unit  of  foreign  currency,Euro,2015,4.3343
