Year,Expenditure category,Expenditure subcategory,RM Million
2000,By Object,Emoluments,16357
2001,By Object,Emoluments,17443
2002,By Object,Emoluments,20242
2003,By Object,Emoluments,21721
2004,By Object,Emoluments,23779
2005,By Object,Emoluments,25587
2006,By Object,Emoluments,28522
2007,By Object,Emoluments,32587
2008,By Object,Emoluments,41011
2009,By Object,Emoluments,42778
2010,By Object,Emoluments,46663
2011,By Object,Emoluments,50148
2012,By Object,Emoluments,60016
2013,By Object,Emoluments,61001
2014,By Object,Emoluments,66947
2015,By Object,Emoluments,70050
2016,By Object,Emoluments,73108
2017,By Object,Emoluments,77036
2018,By Object,Emoluments,79989
2018,By Object,Emoluments,80534
2000,By Object,Pensions and gratuities,4187
2001,By Object,Pensions and gratuities,4711
2002,By Object,Pensions and gratuities,5134
2003,By Object,Pensions and gratuities,5870
2004,By Object,Pensions and gratuities,6060
2005,By Object,Pensions and gratuities,6809
2006,By Object,Pensions and gratuities,7008
2007,By Object,Pensions and gratuities,8251
2008,By Object,Pensions and gratuities,10022
2009,By Object,Pensions and gratuities,10146
2010,By Object,Pensions and gratuities,11515
2011,By Object,Pensions and gratuities,13565
2012,By Object,Pensions and gratuities,14079
2013,By Object,Pensions and gratuities,14842
2014,By Object,Pensions and gratuities,18218
2015,By Object,Pensions and gratuities,18872
2016,By Object,Pensions and gratuities,21029
2017,By Object,Pensions and gratuities,22800
2018,By Object,Pensions and gratuities,25177
2019,By Object,Pensions and gratuities,25894
2000,By Object,Debt service charges,9055
2001,By Object,Debt service charges,9634
2002,By Object,Debt service charges,9670
2003,By Object,Debt service charges,10546
2004,By Object,Debt service charges,10920
2005,By Object,Debt service charges,11604
2006,By Object,Debt service charges,12495
2007,By Object,Debt service charges,12911
2008,By Object,Debt service charges,12797
2009,By Object,Debt service charges,14222
2010,By Object,Debt service charges,15621
2011,By Object,Debt service charges,17716
2012,By Object,Debt service charges,19537
2013,By Object,Debt service charges,20776
2014,By Object,Debt service charges,22588
2015,By Object,Debt service charges,24283
2016,By Object,Debt service charges,26480
2017,By Object,Debt service charges,27863
2018,By Object,Debt service charges,30547
2019,By Object,Debt service charges,32933
2000,By Object,Grants and transfers to State Governments,2077
2001,By Object,Grants and transfers to State Governments,2013
2002,By Object,Grants and transfers to State Governments,2534
2003,By Object,Grants and transfers to State Governments,2125
2004,By Object,Grants and transfers to State Governments,2895
2005,By Object,Grants and transfers to State Governments,2614
2006,By Object,Grants and transfers to State Governments,2851
2007,By Object,Grants and transfers to State Governments,3904
2008,By Object,Grants and transfers to State Governments,4365
2009,By Object,Grants and transfers to State Governments,4895
2010,By Object,Grants and transfers to State Governments,4689
2011,By Object,Grants and transfers to State Governments,5535
2012,By Object,Grants and transfers to State Governments,5690
2013,By Object,Grants and transfers to State Governments,6046
2014,By Object,Grants and transfers to State Governments,6530
2015,By Object,Grants and transfers to State Governments,6921
2016,By Object,Grants and transfers to State Governments,6942
2017,By Object,Grants and transfers to State Governments,7109
2018,By Object,Grants and transfers to State Governments,7905
2019,By Object,Grants and transfers to State Governments,7574
2000,By Object,Supplies and services,7360
2001,By Object,Supplies and services,10703
2002,By Object,Supplies and services,11269
2003,By Object,Supplies and services,13968
2004,By Object,Supplies and services,16633
2005,By Object,Supplies and services,17984
2006,By Object,Supplies and services,20923
2007,By Object,Supplies and services,23622
2008,By Object,Supplies and services,25197
2009,By Object,Supplies and services,26372
2010,By Object,Supplies and services,23841
2011,By Object,Supplies and services,28949
2012,By Object,Supplies and services,31963
2013,By Object,Supplies and services,33860
2014,By Object,Supplies and services,34259
2015,By Object,Supplies and services,36373
2016,By Object,Supplies and services,30070
2017,By Object,Supplies and services,34738
2018,By Object,Supplies and services,35283
2019,By Object,Supplies and services,31507
2000,By Object,Subsidies and social assistance,4824
2001,By Object,Subsidies and social assistance,4552
2002,By Object,Subsidies and social assistance,3677
2003,By Object,Subsidies and social assistance,2679
2004,By Object,Subsidies and social assistance,5796
2005,By Object,Subsidies and social assistance,13387
2006,By Object,Subsidies and social assistance,10112
2007,By Object,Subsidies and social assistance,10481
2008,By Object,Subsidies and social assistance,35166
2009,By Object,Subsidies and social assistance,20345
2010,By Object,Subsidies and social assistance,23106
2011,By Object,Subsidies and social assistance,36256
2012,By Object,Subsidies and social assistance,44075
2013,By Object,Subsidies and social assistance,43349
2014,By Object,Subsidies and social assistance,39703
2015,By Object,Subsidies and social assistance,27269
2016,By Object,Subsidies and social assistance,24690
2017,By Object,Subsidies and social assistance,22354
2018,By Object,Subsidies and social assistance,27516
2019,By Object,Subsidies and social assistance,23901
2000,By Object,Asset acquisition,0
2001,By Object,Asset acquisition,0
2002,By Object,Asset acquisition,0
2003,By Object,Asset acquisition,0
2004,By Object,Asset acquisition,0
2005,By Object,Asset acquisition,0
2006,By Object,Asset acquisition,0
2007,By Object,Asset acquisition,0
2008,By Object,Asset acquisition,0
2009,By Object,Asset acquisition,0
2010,By Object,Asset acquisition,0
2011,By Object,Asset acquisition,0
2012,By Object,Asset acquisition,0
2013,By Object,Asset acquisition,0
2014,By Object,Asset acquisition,0
2015,By Object,Asset acquisition,0
2016,By Object,Asset acquisition,0
2017,By Object,Asset acquisition,516
2018,By Object,Asset acquisition,447
2019,By Object,Asset acquisition,770
2000,By Object,Refund and write-offs,0
2001,By Object,Refund and write-offs,0
2002,By Object,Refund and write-offs,0
2003,By Object,Refund and write-offs,0
2004,By Object,Refund and write-offs,0
2005,By Object,Refund and write-offs,0
2006,By Object,Refund and write-offs,0
2007,By Object,Refund and write-offs,0
2008,By Object,Refund and write-offs,0
2009,By Object,Refund and write-offs,0
2010,By Object,Refund and write-offs,0
2011,By Object,Refund and write-offs,0
2012,By Object,Refund and write-offs,0
2013,By Object,Refund and write-offs,0
2014,By Object,Refund and write-offs,0
2015,By Object,Refund and write-offs,0
2016,By Object,Refund and write-offs,0
2017,By Object,Refund and write-offs,973
2018,By Object,Refund and write-offs,883
2019,By Object,Refund and write-offs,987
2000,By Object,Grants to statutory bodies,0
2001,By Object,Grants to statutory bodies,0
2002,By Object,Grants to statutory bodies,0
2003,By Object,Grants to statutory bodies,0
2004,By Object,Grants to statutory bodies,0
2005,By Object,Grants to statutory bodies,0
