Taxes_type,Taxes_category,Taxes_subcategory,Year,RM Million
Direct taxes,Income Taxes Companies,Companies,2000,13905
Direct taxes,Income Taxes Companies,Companies,2001,20771
Direct taxes,Income Taxes Companies,Companies,2002,24642
Direct taxes,Income Taxes Companies,Companies,2003,23990
Direct taxes,Income Taxes Companies,Companies,2004,24388
Direct taxes,Income Taxes Companies,Companies,2005,26381
Direct taxes,Income Taxes Companies,Companies,2006,26477
Direct taxes,Income Taxes Companies,Companies,2007,32149
Direct taxes,Income Taxes Companies,Companies,2008,37741
Direct taxes,Income Taxes Companies,Companies,2009,30199
Direct taxes,Income Taxes Companies,Companies,2010,36266
Direct taxes,Income Taxes Companies,Companies,2011,46888
Direct taxes,Income Taxes Companies,Companies,2012,51288
Direct taxes,Income Taxes Companies,Companies,2013,58175
Direct taxes,Income Taxes Companies,Companies,2014,65240
Direct taxes,Income Taxes Companies,Companies,2015,63679
Direct taxes,Income Taxes Companies,Companies,2016,63625
Direct taxes,Income Taxes Companies,Companies,2017,64465
Direct taxes,Income Taxes Companies,Companies,2018,66474
Direct taxes,Income Taxes Companies,Companies,2019,63751
Direct taxes,Income Taxes Individuals,Individuals,2000,7015
Direct taxes,Income Taxes Individuals,Individuals,2001,9436
Direct taxes,Income Taxes Individuals,Individuals,2002,9889
Direct taxes,Income Taxes Individuals,Individuals,2003,7984
Direct taxes,Income Taxes Individuals,Individuals,2004,8977
Direct taxes,Income Taxes Individuals,Individuals,2005,8649
Direct taxes,Income Taxes Individuals,Individuals,2006,10196
Direct taxes,Income Taxes Individuals,Individuals,2007,11661
Direct taxes,Income Taxes Individuals,Individuals,2008,14966
Direct taxes,Income Taxes Individuals,Individuals,2009,15590
Direct taxes,Income Taxes Individuals,Individuals,2010,17805
Direct taxes,Income Taxes Individuals,Individuals,2011,20203
Direct taxes,Income Taxes Individuals,Individuals,2012,22977
Direct taxes,Income Taxes Individuals,Individuals,2013,23055
Direct taxes,Income Taxes Individuals,Individuals,2014,24423
Direct taxes,Income Taxes Individuals,Individuals,2015,26321
Direct taxes,Income Taxes Individuals,Individuals,2016,27566
Direct taxes,Income Taxes Individuals,Individuals,2017,28945
Direct taxes,Income Taxes Individuals,Individuals,2018,32605
Direct taxes,Income Taxes Individuals,Individuals,2019,38680
Direct taxes,Income Taxes Petroleum,Petroleum,2000,6010
Direct taxes,Income Taxes Petroleum,Petroleum,2001,9859
Direct taxes,Income Taxes Petroleum,Petroleum,2002,7636
Direct taxes,Income Taxes Petroleum,Petroleum,2003,8466
Direct taxes,Income Taxes Petroleum,Petroleum,2004,11479
Direct taxes,Income Taxes Petroleum,Petroleum,2005,14566
Direct taxes,Income Taxes Petroleum,Petroleum,2006,20674
Direct taxes,Income Taxes Petroleum,Petroleum,2007,20453
Direct taxes,Income Taxes Petroleum,Petroleum,2008,24191
Direct taxes,Income Taxes Petroleum,Petroleum,2009,27231
Direct taxes,Income Taxes Petroleum,Petroleum,2010,18713
Direct taxes,Income Taxes Petroleum,Petroleum,2011,27748
Direct taxes,Income Taxes Petroleum,Petroleum,2012,33934
Direct taxes,Income Taxes Petroleum,Petroleum,2013,29753
Direct taxes,Income Taxes Petroleum,Petroleum,2014,26956
Direct taxes,Income Taxes Petroleum,Petroleum,2015,11559
Direct taxes,Income Taxes Petroleum,Petroleum,2016,8422
Direct taxes,Income Taxes Petroleum,Petroleum,2017,11761
Direct taxes,Income Taxes Petroleum,Petroleum,2018,20082
Direct taxes,Income Taxes Petroleum,Petroleum,2019,20783
Direct taxes,Income Taxes Withholding and others,Withholding and others,2000,0
Direct taxes,Income Taxes Withholding and others,Withholding and others,2001,0
Direct taxes,Income Taxes Withholding and others,Withholding and others,2002,0
Direct taxes,Income Taxes Withholding and others,Withholding and others,2003,62
Direct taxes,Income Taxes Withholding and others,Withholding and others,2004,1275
Direct taxes,Income Taxes Withholding and others,Withholding and others,2005,1193
