Country,Sex,Age_Group,Year,Ethnic_Group,Value
Malaysia,Total Sex,Total Age Group,1980,Total Ethnic Group,13879
Malaysia,Total Sex,Total Age Group,1980,Bumiputera,7927
Malaysia,Total Sex,Total Age Group,1980,Chinese,4460
Malaysia,Total Sex,Total Age Group,1980,Indians,1190
Malaysia,Total Sex,Total Age Group,1980,Others,303
Malaysia,Total Sex,Total Age Group,1981,Total Ethnic Group,14257
Malaysia,Total Sex,Total Age Group,1981,Bumiputera,8201
Malaysia,Total Sex,Total Age Group,1981,Chinese,4521
Malaysia,Total Sex,Total Age Group,1981,Indians,1213
Malaysia,Total Sex,Total Age Group,1981,Others,323
Malaysia,Total Sex,Total Age Group,1982,Total Ethnic Group,14651
Malaysia,Total Sex,Total Age Group,1982,Bumiputera,8489
Malaysia,Total Sex,Total Age Group,1982,Chinese,4582
Malaysia,Total Sex,Total Age Group,1982,Indians,1237
Malaysia,Total Sex,Total Age Group,1982,Others,344
Malaysia,Total Sex,Total Age Group,1983,Total Ethnic Group,15048
Malaysia,Total Sex,Total Age Group,1983,Bumiputera,8787
Malaysia,Total Sex,Total Age Group,1983,Chinese,4638
Malaysia,Total Sex,Total Age Group,1983,Indians,1259
Malaysia,Total Sex,Total Age Group,1983,Others,365
Malaysia,Total Sex,Total Age Group,1984,Total Ethnic Group,15450
Malaysia,Total Sex,Total Age Group,1984,Bumiputera,9093
Malaysia,Total Sex,Total Age Group,1984,Chinese,4691
Malaysia,Total Sex,Total Age Group,1984,Indians,1280
Malaysia,Total Sex,Total Age Group,1984,Others,387
Malaysia,Total Sex,Total Age Group,1985,Total Ethnic Group,15883
Malaysia,Total Sex,Total Age Group,1985,Bumiputera,9426
Malaysia,Total Sex,Total Age Group,1985,Chinese,4747
Malaysia,Total Sex,Total Age Group,1985,Indians,1301
Malaysia,Total Sex,Total Age Group,1985,Others,409
Malaysia,Total Sex,Total Age Group,1986,Total Ethnic Group,16329
Malaysia,Total Sex,Total Age Group,1986,Bumiputera,9774
Malaysia,Total Sex,Total Age Group,1986,Chinese,4800
Malaysia,Total Sex,Total Age Group,1986,Indians,1324
Malaysia,Total Sex,Total Age Group,1986,Others,431
Malaysia,Total Sex,Total Age Group,1987,Total Ethnic Group,16774
Malaysia,Total Sex,Total Age Group,1987,Bumiputera,10128
Malaysia,Total Sex,Total Age Group,1987,Chinese,4845
Malaysia,Total Sex,Total Age Group,1987,Indians,1347
Malaysia,Total Sex,Total Age Group,1987,Others,454
Malaysia,Total Sex,Total Age Group,1988,Total Ethnic Group,17219
Malaysia,Total Sex,Total Age Group,1988,Bumiputera,10481
Malaysia,Total Sex,Total Age Group,1988,Chinese,4893
Malaysia,Total Sex,Total Age Group,1988,Indians,1368
Malaysia,Total Sex,Total Age Group,1988,Others,477
Malaysia,Total Sex,Total Age Group,1989,Total Ethnic Group,17662
Malaysia,Total Sex,Total Age Group,1989,Bumiputera,10825
