State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Johor,Senai,(37.8m),2000,22.9,32.3,2388.3,205.0,86.1
Johor,Kluang,(88.1m),2000,23.1,32.0,2198.3,200.0,86.6
Kedah,Alor Setar,(3.9m),2000,23.6,32.5,2009.0,185.0,83.7
Kedah,Pulau Langkawi,(6.4m),2000,25.0,32.0,2299.2,173.0,79.5
Kelantan,Kota Bharu,(4.4m),2000,24.1,31.6,3659.5,161.0,81.9
Kelantan,Kuala Krai,(34.9 m),2000,22.6,32.3,2364.9,193.0,86.1
Melaka,Melaka,(8.5m),2000,23.9,32.0,2156.7,170.0,82.4
Pahang,Kuantan,(15.2m),2000,23.4,31.9,2867.4,197.0,85.2
Pahang,Cameron Highlands,"(1,545.0m)",2000,15.3,22.7,3172.0,241.0,90.9
Perak,Ipoh,(40.1m),2000,23.9,32.9,2990.3,193.0,83.3
Perak,Sitiawan,(6.8m),2000,23.3,32.4,1618.0,185.0,84.3
Perlis,Chuping  ,(21.7m),2000,23.8,32.8,1947.0,197.0,83.6
Pulau Pinang,Bayan Lepas,(2.5 m),2000,24.4,31.5,2653.2,190.0,80.9
Pulau Pinang,Butterworth,(3.3m),2000,23.7,31.9,2506.2,184.0,82.3
Sabah,Kota Kinabalu,(2.1m),2000,24.0,31.8,2973.4,231.0,82.1
Sabah,Kudat,(3.5m),2000,24.0,31.3,2027.3,187.0,84.5
Sabah,Sandakan,(12.1m),2000,24.0,31.2,3261.2,218.0,84.9
Sabah,Tawau,(17.5m),2000,23.4,31.3,2036.6,210.0,82.8
Sarawak,Kuching,(20.9m),2000,23.3,31.7,4299.4,254.0,85.3
Sarawak,Miri ,(17.0m),2000,23.9,31.2,2998.2,190.0,85.4
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2000,24.3,32.0,2166.3,186.0,80.7
Selangor,Subang,(16.6m),2000,24.1,32.8,2811.5,206.0,79.2
Terengganu,Kuala Terengganu,(5.2m),2000,23.8,31.7,3187.0,171.0,84.3
Wilayah Persekutuan Labuan,Labuan,(27.9m),2000,25.3,31.0,3678.1,216.0,82.4
Johor,Senai,(37.8m),2001,22.9,32.1,2531.9,215.0,86.2
Johor,Kluang,(88.1m),2001,23.3,32.0,1809.9,191.0,86.3
