Year,Country/State,Administrative district,Sex,Population ('000)
2016,Malaysia,,Female,15358.3
2016,Malaysia,,Male,16553.9
2016,Johor,Batu pahat,Female,224.2
2016,Johor,Batu pahat,Male,238.2
2016,Johor,Johor Bahru,Female,716.2
2016,Johor,Johor Bahru,Male,820.7
2016,Johor,Kluang,Female,146.7
2016,Johor,Kluang,Male,186.4
2016,Johor,Kota tinggi,Female,103.1
2016,Johor,Kota tinggi,Male,114.2
2016,Johor,Kulai,Female,129
2016,Johor,Kulai,Male,150.5
2016,Johor,Mersing,Female,37.3
2016,Johor,Mersing,Male,42.6
2016,Johor,Muar,Female,129.9
2016,Johor,Muar,Male,144
2016,Johor,Pontian,Female,82.2
2016,Johor,Pontian,Male,90.8
2016,Johor,Segamat,Female,103.2
2016,Johor,Segamat,Male,106.8
2016,Johor,Tangkak,Female,73
2016,Johor,Tangkak,Male,78.4
2016,Kedah,Baling,Female,74.2
2016,Kedah,Baling,Male,75.4
2016,Kedah,Bandar Baharu,Female,23
2016,Kedah,Bandar Baharu,Male,23.5
2016,Kedah,Kota Setar,Female,200.5
2016,Kedah,Kota Setar,Male,200.7
2016,Kedah,Kuala Muda,Female,245.7
2016,Kedah,Kuala Muda,Male,255.2
2016,Kedah,Kubang Pasu,Female,124.5
2016,Kedah,Kubang Pasu,Male,118.8
2016,Kedah,Kulim,Female,150.4
2016,Kedah,Kulim,Male,166.6
2016,Kedah,Langkawi,Female,50.1
2016,Kedah,Langkawi,Male,56.4
2016,Kedah,Padang Terap,Female,34.2
2016,Kedah,Padang Terap,Male,35.5
2016,Kedah,Pendang,Female,52.3
2016,Kedah,Pendang,Male,52.6
2016,Kedah,Pokok Sena,Female,25.9
2016,Kedah,Pokok Sena,Male,29
2016,Kedah,Sik,Female,36.1
2016,Kedah,Sik,Male,38.6
2016,Kedah,Yan,Female,37.8
2016,Kedah,Yan,Male,37.5
2016,Kelantan,Bachok,Female,77.9
2016,Kelantan,Bachok,Male,78.1
2016,Kelantan,Gua Musang,Female,49.5
2016,Kelantan,Gua Musang,Male,59.7
2016,Kelantan,Jeli,Female,23.3
2016,Kelantan,Jeli,Male,25.4
2016,Kelantan,Kota Bharu,Female,287.4
2016,Kelantan,Kota Bharu,Male,286.3
2016,Kelantan,Kuala Krai,Female,62.9
2016,Kelantan,Kuala Krai,Male,67.1
2016,Kelantan,Machang,Female,55
2016,Kelantan,Machang,Male,54.1
2016,Kelantan,Pasir Mas,Female,110.6
2016,Kelantan,Pasir Mas,Male,112.1
2016,Kelantan,Pasir Puteh,Female,68.6
2016,Kelantan,Pasir Puteh,Male,68.9
2016,Kelantan,Tanah Merah,Female,70.3
2016,Kelantan,Tanah Merah,Male,73.1
2016,Kelantan,Tumpat,Female,89.6
2016,Kelantan,Tumpat,Male,90.4
2016,Melaka,Alor Gajah,Female,100.3
2016,Melaka,Alor Gajah,Male,102.5
2016,Melaka,Jasin,Female,73.4
2016,Melaka,Jasin,Male,76.4
2016,Melaka,Melaka Tengah,Female,273.8
2016,Melaka,Melaka Tengah,Male,281.8
2016,Negeri Sembilan,Jelebu,Female,20.4
2016,Negeri Sembilan,Jelebu,Male,23.3
