Year,Month,Usage (m3),Cost (RM)
2019,Jan,4.57,2.6
2019,Feb,4.57,2.6
2019,Mac,4.57,2.6
2019,Apr,4.57,2.6
2019,May,4.57,2.6
2019,Jun,4.57,2.6
2019,Jul,4.57,2.6
2019,Aug,13,7.41
2019,Sep,6,3.42
2019,Oct,8,4.56
2019,Nov,10,5.7
2019,Dec,9,5.13
2020,Jan,8,0
2020,Feb,8,0
2020,Mac,8,6
2020,Apr,9,6
2020,May,20,11.4
2020,Jun,21,12.45
2020,Jul,24,15.5
2020,Aug,26,17.6
2020,Sep,24,15.5
2020,Oct,24,15.5
2020,Nov,20,11.4
2020,Dec,27,18.6
2021,Jan,28,19.65
2021,Feb,27,18.6
2021,Mac,26,17.6
2021,Apr,26,17.6
2021,May,28,19.65
2021,Jun,30,21.7
2021,Jul,25,16.55
2021,Aug,27,18.6
2021,Sep,27,18.61
2021,Oct,35,15.45
2021,Nov,32,12.36
2021,Dec,30,7.55
2022,Jan,24,4.12
2022,Feb,22,2.06
2022,Mac,27,7.2
2022,Apr,27,7.2
2022,May,21,1.05
2022,Jun,33,13.4
2022,Jul,,
2022,Aug,,
2022,Sep,,
2022,Oct,,
2022,Nov,,
2022,Dec,,
